Order_ID,Delivery_Time,Order_Value,Items_Count,Distance_km,Delivery_Charge,Surge_Pricing,Time_Slot,Warehouse_Location,Rider_Rating,Customer_Rating,Inventory_Issue,Payment_Method,Order_Status,Delivery_Efficiency,Avg_Order_Value,Late_Delivery,Cancelled,Net_Revenue,Order_Size,Distance_Category
827,36.0,1391,6.0,2.0,50.0,0,Evening,West Hub,3.0,3.0,No,UPI,Delivered,18.0,231.83333333333334,1,0,1341.0,High,Near
839,24.0,1273,15.0,9.0,74.0,0,Evening,East Hub,4.0,2.0,Yes,COD,Delivered,2.6666666666666665,84.86666666666666,1,0,1199.0,Medium,Medium
846,19.0,1995,14.0,9.0,82.0,1,Morning,Central Hub,2.0,5.0,No,COD,Delivered,2.111111111111111,142.5,0,0,1913.0,High,Medium
861,12.0,440,4.0,10.0,11.0,0,Morning,East Hub,5.0,2.0,Yes,UPI,Delivered,1.2,110.0,0,0,429.0,Low,Medium
867,12.0,932,3.0,12.0,93.0,0,Morning,South Hub,3.0,3.0,Yes,COD,Delivered,1.0,310.6666666666667,0,0,839.0,Medium,Far
870,40.0,1571,7.0,4.0,36.0,0,Morning,Central Hub,5.0,3.0,Yes,UPI,Delivered,10.0,224.42857142857142,1,0,1535.0,High,Near
879,40.0,1044,7.0,7.0,7.0,0,Evening,Central Hub,2.0,5.0,No,COD,Delivered,5.714285714285714,149.14285714285714,1,0,1037.0,Medium,Medium
880,31.0,451,5.0,9.0,28.0,1,Afternoon,South Hub,4.0,4.0,Yes,UPI,Delivered,3.4444444444444446,90.2,1,0,423.0,Low,Medium
888,32.0,1044,18.0,9.0,44.0,0,Morning,South Hub,2.0,5.0,Yes,Card,Delivered,3.5555555555555554,58.0,1,0,1000.0,Medium,Medium
889,52.0,669,5.0,7.0,87.0,1,Late Night,South Hub,2.0,4.0,Yes,COD,Delivered,7.428571428571429,133.8,1,0,582.0,Low,Medium
890,33.0,237,13.0,9.0,72.0,0,Morning,East Hub,4.0,4.0,Yes,UPI,Cancelled,3.6666666666666665,18.23076923076923,1,1,165.0,Low,Medium
891,17.0,1886,4.0,13.0,36.0,0,Morning,North Hub,1.0,4.0,No,UPI,Delivered,1.3076923076923077,471.5,0,0,1850.0,High,Far
900,6.0,413,2.0,6.0,52.0,0,Afternoon,West Hub,4.0,1.0,Yes,UPI,Delivered,1.0,206.5,0,0,361.0,Low,Medium
906,9.0,1422,9.0,13.0,93.0,0,Morning,North Hub,5.0,4.0,Yes,UPI,Cancelled,0.6923076923076923,158.0,0,1,1329.0,High,Far
911,5.0,1234,10.0,4.0,107.0,1,Morning,East Hub,1.0,1.0,Yes,Card,Delivered,1.25,123.4,0,0,1127.0,Medium,Near
914,51.0,1499,9.0,6.0,19.0,0,Morning,South Hub,1.0,3.0,No,UPI,Cancelled,8.5,166.55555555555554,1,1,1480.0,High,Medium
915,53.0,1181,17.0,12.0,49.0,0,Morning,West Hub,4.0,4.0,Yes,COD,Delivered,4.416666666666667,69.47058823529412,1,0,1132.0,Medium,Far
916,15.0,943,9.0,12.0,101.0,0,Late Night,South Hub,3.0,5.0,Yes,UPI,Delivered,1.25,104.77777777777777,0,0,842.0,Medium,Far
917,25.0,1523,9.0,8.0,137.0,0,Morning,South Hub,5.0,1.0,Yes,Card,Delivered,3.125,169.22222222222223,1,0,1386.0,High,Medium
922,53.0,463,10.0,13.0,36.0,0,Morning,East Hub,1.0,2.0,Yes,UPI,Delivered,4.076923076923077,46.3,1,0,427.0,Low,Far
932,10.0,1112,17.0,2.0,135.0,0,Afternoon,Central Hub,3.0,4.0,Yes,UPI,Delivered,5.0,65.41176470588235,0,0,977.0,Medium,Near
936,35.0,526,12.0,10.0,59.0,0,Morning,South Hub,4.0,3.0,Yes,Card,Delivered,3.5,43.833333333333336,1,0,467.0,Low,Medium
940,57.0,746,13.0,6.0,48.0,0,Evening,South Hub,5.0,1.0,Yes,UPI,Delivered,9.5,57.38461538461539,1,0,698.0,Medium,Medium
958,5.0,1743,7.0,7.0,45.0,0,Morning,South Hub,5.0,4.0,Yes,UPI,Delivered,0.7142857142857143,249.0,0,0,1698.0,High,Medium
961,36.0,342,11.0,12.0,127.0,0,Morning,South Hub,4.0,2.0,Yes,COD,Delivered,3.0,31.09090909090909,1,0,215.0,Low,Far
967,30.0,448,15.0,7.0,144.0,1,Afternoon,South Hub,5.0,1.0,Yes,UPI,Cancelled,4.285714285714286,29.866666666666667,1,1,304.0,Low,Medium
974,16.0,1878,15.0,8.0,88.0,0,Morning,North Hub,1.0,5.0,Yes,Card,Delivered,2.0,125.2,0,0,1790.0,High,Medium
976,58.0,988,3.0,4.0,114.0,0,Late Night,West Hub,4.0,4.0,No,UPI,Delivered,14.5,329.3333333333333,1,0,874.0,Medium,Near
982,21.0,1375,9.0,13.0,12.0,1,Morning,South Hub,2.0,2.0,Yes,UPI,Delivered,1.6153846153846154,152.77777777777777,1,0,1363.0,High,Far
987,41.0,275,12.0,9.0,147.0,0,Morning,South Hub,4.0,3.0,Yes,UPI,Cancelled,4.555555555555555,22.916666666666668,1,1,128.0,Low,Medium
992,55.0,1644,16.0,9.0,70.0,1,Morning,South Hub,3.0,1.0,Yes,COD,Cancelled,6.111111111111111,102.75,1,1,1574.0,High,Medium
998,38.0,934,8.0,13.0,61.0,1,Afternoon,West Hub,5.0,4.0,Yes,UPI,Delivered,2.923076923076923,116.75,1,0,873.0,Medium,Far
999,22.0,1316,18.0,11.0,140.0,0,Afternoon,South Hub,5.0,1.0,Yes,Card,Delivered,2.0,73.11111111111111,1,0,1176.0,Medium,Far
